,관광지,날짜,버즈량,위치
115,1100고지습지,2021-04-26,2,서귀포시
116,1100고지습지,2021-04-27,2,서귀포시
117,1100고지습지,2021-04-28,1,서귀포시
118,1100고지습지,2021-04-29,3,서귀포시
119,1100고지습지,2021-04-30,3,서귀포시
120,1100고지습지,2021-05-01,3,서귀포시
121,1100고지습지,2021-05-02,6,서귀포시
122,1100고지습지,2021-05-03,1,서귀포시
123,1100고지습지,2021-05-04,1,서귀포시
124,1100고지습지,2021-05-05,2,서귀포시
125,1100고지습지,2021-05-06,1,서귀포시
126,1100고지습지,2021-05-07,0,서귀포시
127,1100고지습지,2021-05-08,2,서귀포시
128,1100고지습지,2021-05-09,1,서귀포시
129,1100고지습지,2021-05-10,4,서귀포시
130,1100고지습지,2021-05-11,2,서귀포시
131,1100고지습지,2021-05-12,1,서귀포시
132,1100고지습지,2021-05-13,1,서귀포시
133,1100고지습지,2021-05-14,1,서귀포시
134,1100고지습지,2021-05-15,3,서귀포시
135,1100고지습지,2021-05-16,4,서귀포시
136,1100고지습지,2021-05-17,1,서귀포시
137,1100고지습지,2021-05-18,1,서귀포시
138,1100고지습지,2021-05-19,3,서귀포시
139,1100고지습지,2021-05-20,2,서귀포시
140,1100고지습지,2021-05-21,2,서귀포시
141,1100고지습지,2021-05-22,3,서귀포시
142,1100고지습지,2021-05-23,3,서귀포시
143,1100고지습지,2021-05-24,3,서귀포시
144,1100고지습지,2021-05-25,2,서귀포시
145,1100고지습지,2021-05-26,7,서귀포시
146,1100고지습지,2021-05-27,4,서귀포시
147,1100고지습지,2021-05-28,3,서귀포시
148,1100고지습지,2021-05-29,4,서귀포시
149,1100고지습지,2021-05-30,2,서귀포시
150,1100고지습지,2021-05-31,2,서귀포시
151,1100고지습지,2021-06-01,3,서귀포시
152,1100고지습지,2021-06-02,2,서귀포시
153,1100고지습지,2021-06-03,2,서귀포시
154,1100고지습지,2021-06-04,0,서귀포시
155,1100고지습지,2021-06-05,1,서귀포시
156,1100고지습지,2021-06-06,4,서귀포시
157,1100고지습지,2021-06-07,0,서귀포시
158,1100고지습지,2021-06-08,2,서귀포시
159,1100고지습지,2021-06-09,0,서귀포시
160,1100고지습지,2021-06-10,3,서귀포시
161,1100고지습지,2021-06-11,2,서귀포시
162,1100고지습지,2021-06-12,2,서귀포시
163,1100고지습지,2021-06-13,3,서귀포시
