,관광지,날짜,버즈량,위치
1587,곽지해수욕장,2021-05-08,33,제주시
1588,곽지해수욕장,2021-05-09,35,제주시
1589,곽지해수욕장,2021-05-10,22,제주시
1590,곽지해수욕장,2021-05-11,43,제주시
1591,곽지해수욕장,2021-05-12,43,제주시
1592,곽지해수욕장,2021-05-13,48,제주시
1593,곽지해수욕장,2021-05-14,19,제주시
1594,곽지해수욕장,2021-05-15,29,제주시
1595,곽지해수욕장,2021-05-16,36,제주시
1596,곽지해수욕장,2021-05-17,32,제주시
1597,곽지해수욕장,2021-05-18,56,제주시
1598,곽지해수욕장,2021-05-19,44,제주시
1599,곽지해수욕장,2021-05-20,40,제주시
1600,곽지해수욕장,2021-05-21,38,제주시
1601,곽지해수욕장,2021-05-22,46,제주시
1602,곽지해수욕장,2021-05-23,39,제주시
1603,곽지해수욕장,2021-05-24,54,제주시
1604,곽지해수욕장,2021-05-25,56,제주시
1605,곽지해수욕장,2021-05-26,52,제주시
1606,곽지해수욕장,2021-05-27,43,제주시
1607,곽지해수욕장,2021-05-28,50,제주시
1608,곽지해수욕장,2021-05-29,36,제주시
1609,곽지해수욕장,2021-05-30,50,제주시
1610,곽지해수욕장,2021-05-31,66,제주시
1611,곽지해수욕장,2021-06-01,58,제주시
1612,곽지해수욕장,2021-06-02,49,제주시
1613,곽지해수욕장,2021-06-03,56,제주시
1614,곽지해수욕장,2021-06-04,38,제주시
1615,곽지해수욕장,2021-06-05,31,제주시
1616,곽지해수욕장,2021-06-06,41,제주시
1617,곽지해수욕장,2021-06-07,60,제주시
1618,곽지해수욕장,2021-06-08,50,제주시
1619,곽지해수욕장,2021-06-09,49,제주시
1620,곽지해수욕장,2021-06-10,54,제주시
1621,곽지해수욕장,2021-06-11,37,제주시
1622,곽지해수욕장,2021-06-12,46,제주시
1623,곽지해수욕장,2021-06-13,36,제주시
1624,곽지해수욕장,2021-06-14,34,제주시
1625,곽지해수욕장,2021-06-15,66,제주시
1626,곽지해수욕장,2021-06-16,50,제주시
1627,곽지해수욕장,2021-06-17,58,제주시
1628,곽지해수욕장,2021-06-18,47,제주시
1629,곽지해수욕장,2021-06-19,39,제주시
1630,곽지해수욕장,2021-06-20,35,제주시
1631,곽지해수욕장,2021-06-21,44,제주시
1632,곽지해수욕장,2021-06-22,63,제주시
1633,곽지해수욕장,2021-06-23,65,제주시
1634,곽지해수욕장,2021-06-24,68,제주시
1635,곽지해수욕장,2021-06-25,53,제주시
1636,곽지해수욕장,2021-06-26,57,제주시
1637,곽지해수욕장,2021-06-27,53,제주시
1638,곽지해수욕장,2021-06-28,53,제주시
1639,곽지해수욕장,2021-06-29,50,제주시
1640,곽지해수욕장,2021-06-30,66,제주시
1641,곽지해수욕장,2021-07-01,51,제주시
1642,곽지해수욕장,2021-07-02,71,제주시
1643,곽지해수욕장,2021-07-03,41,제주시
1644,곽지해수욕장,2021-07-04,55,제주시
1645,곽지해수욕장,2021-07-05,49,제주시
1646,곽지해수욕장,2021-07-06,54,제주시
