날짜,공휴일,요일,humidity(%),강수확률,최고기온,강수형태
2021-08-12,0,목,  90,60,29.0,1
2021-08-13,0,금,  85,60,28.0,0
2021-08-14,0,토,  90,30,30.0,1
2021-08-15,1,일,  85,60,29.0,0
2021-08-16,1,월,  90,30,30.0,0
2021-08-17,0,화,  80,20,29.0,0
2021-08-18,0,수,  80,20,28.0,0
2021-08-19,0,목,  85,0,29.0,0
2021-08-20,0,금,  90,30,27.0,1
2021-08-21,0,토,  95,100,28.0,0
2021-08-22,0,일,  95,30,29.0,1
2021-08-23,0,월,  100,60,29.0,1
2021-08-24,0,화,  100,60,29.0,0
2021-08-25,0,수,  100,20,30.0,0
2021-08-26,0,목,  75,30,29.0,0
2021-08-27,0,금,  95,20,29.0,0
2021-08-28,0,토,  95,20,30.0,0
2021-08-29,0,일,  90,20,30.0,0
2021-08-30,0,월,  85,0,29.0,0
2021-08-31,0,화,  85,20,29.0,0
2021-09-01,0,수,  95,20,29.0,1
2021-09-02,0,목,  90,60,29.0,1
2021-09-03,0,금,  90,60,29.0,0
2021-09-04,0,토,  80,30,29.0,1
2021-09-05,0,일,  90,60,27.0,1
2021-09-06,0,월,  90,60,30.0,0
2021-09-07,0,화,  85,20,29.0,0
2021-09-08,0,수,  70,0,28.0,0
2021-09-09,0,목,  80,20,26.0,0
2021-09-10,0,금,  95,30,29.0,0
2021-09-11,0,토,  90,30,29.0,0
2021-09-12,0,일,  90,30,27.0,1
2021-09-13,0,월,  95,85,28.0,1
2021-09-14,0,화,  95,65,27.0,0
2021-09-15,0,수,  90,30,27.0,1
2021-09-16,0,목,  95,70,29.0,0
2021-09-17,0,금,  85,20,27.0,0
2021-09-18,0,토,  85,20,28.0,0
2021-09-19,0,일,  80,0,28.0,0
2021-09-20,1,월,  85,20,27.0,0
2021-09-21,1,화,  80,0,29.0,0
2021-09-22,1,수,  85,0,28.0,0
2021-09-23,0,목,  65,0,27.0,0
2021-09-24,0,금,  75,0,27.0,0
2021-09-25,0,토,  80,20,27.0,0
2021-09-26,0,일,  85,20,28.0,0
2021-09-27,0,월,  85,20,28.0,0
2021-09-28,0,화,  85,30,28.0,1
2021-09-29,0,수,  95,60,28.0,0
2021-09-30,0,목,  85,20,29.0,0
2021-10-01,0,금,  75,0,28.0,0
2021-10-02,0,토,  80,0,29.0,0
2021-10-03,1,일,  85,0,28.0,0
2021-10-04,1,월,  85,0,29.0,0
2021-10-05,0,화,  80,20,28.0,0
2021-10-06,0,수,  85,20,28.0,0
2021-10-07,0,목,  80,20,28.0,0
2021-10-08,0,금,  75,20,28.0,0
2021-10-09,1,토,  80,20,28.0,1
2021-10-10,0,일,  95,60,28.0,0
2021-10-11,1,월,  90,30,27.0,0
2021-10-12,0,화,  95,30,27.0,0
2021-10-13,0,수,  90,30,28.0,0
2021-10-14,0,목,  85,30,27.0,0
2021-10-15,0,금,  85,30,22.0,0
2021-10-16,0,토,  80,30,17.0,0
2021-10-17,0,일,  55,0,20.0,0
2021-10-18,0,월,  65,30,21.0,0
2021-10-19,0,화,  70,0,18.0,0
2021-10-20,0,수,  70,20,19.0,0
2021-10-21,0,목,  65,0,20.0,0
2021-10-22,0,금,  60,0,21.0,0
2021-10-23,0,토,  65,0,22.0,0
2021-10-24,0,일,  75,30,23.0,0
2021-10-25,0,월,  65,0,22.0,0
2021-10-26,0,화,  75,0,23.0,0
2021-10-27,0,수,  65,0,22.0,0
2021-10-28,0,목,  60,0,22.0,0
2021-10-29,0,금,  65,0,22.0,0
2021-10-30,0,토,  80,20,23.0,0
2021-10-31,0,일,  65,0,23.0,0
2021-11-01,0,월,  75,0,20.0,0
2021-11-02,0,화,  65,20,21.0,0
2021-11-03,0,수,  70,20,22.0,0
2021-11-04,0,목,  70,0,22.0,0
2021-11-05,0,금,  70,30,22.0,0
2021-11-06,0,토,  65,20,23.0,0
2021-11-07,0,일,  65,0,18.0,0
2021-11-08,0,월,  65,20,16.0,0
2021-11-09,0,화,  65,20,17.0,0
2021-11-10,0,수,  70,30,18.0,0
2021-11-11,0,목,  70,20,16.0,0
2021-11-12,0,금,  65,20,18.0,0
2021-11-13,0,토,  60,20,20.0,0
2021-11-14,0,일,  60,0,20.0,0
2021-11-15,0,월,  70,0,20.0,0
2021-11-16,0,화,  65,20,19.0,0
2021-11-17,0,수,  60,30,20.0,0
2021-11-18,0,목,  70,0,21.0,0
2021-11-19,0,금,  60,0,21.0,0
2021-11-20,0,토,  75,20,21.0,0
2021-11-21,0,일,  75,30,14.0,0
2021-11-22,0,월,  50,0,13.0,0
2021-11-23,0,화,  60,20,16.0,0
2021-11-24,0,수,  60,0,19.0,0
2021-11-25,0,목,  70,0,17.0,0
2021-11-26,0,금,  60,0,17.0,0
2021-11-27,0,토,  60,0,18.0,0
2021-11-28,0,일,  70,20,19.0,0
2021-11-29,0,월,  75,20,18.0,0
2021-11-30,0,화,  75,30,13.0,0
2021-12-01,0,수,  65,30,14.0,0
2021-12-02,0,목,  70,20,15.0,0
2021-12-03,0,금,  65,30,15.0,0
2021-12-04,0,토,  60,0,16.0,0
2021-12-05,0,일,  65,20,18.0,0
2021-12-06,0,월,  70,20,17.0,0
2021-12-07,0,화,  70,0,17.0,0
2021-12-08,0,수,  65,20,18.0,0
2021-12-09,0,목,  70,30,19.0,0
2021-12-10,0,금,  80,0,16.0,0
2021-12-11,0,토,  80,30,15.0,0
2021-12-12,0,일,  70,20,11.0,0
2021-12-13,0,월,  70,20,14.0,0
2021-12-14,0,화,  70,0,17.0,0
2021-12-15,0,수,  75,20,17.0,0
2021-12-16,0,목,  90,30,9.0,2
2021-12-17,0,금,  60,60,8.0,0
2021-12-18,0,토,  80,30,12.0,0
2021-12-19,0,일,  60,0,15.0,0
2021-12-20,0,월,  60,0,18.0,0
2021-12-21,0,화,  75,0,18.0,0
2021-12-22,0,수,  55,0,17.0,0
2021-12-23,0,목,  70,0,16.0,0
2021-12-24,0,금,  75,30,6.0,0
2021-12-25,1,토,  70,30,5.0,3
2021-12-26,0,일,  70,60,9.0,0
2021-12-27,0,월,  65,20,11.0,0
2021-12-28,0,화,  70,30,13.0,0
2021-12-29,0,수,  60,30,9.0,0
2021-12-30,0,목,  50,20,8.0,0
2021-12-31,0,금,  60,20,11.0,0
