날짜,일,강수확률
2021-10-17,17,0
2021-10-18,18,30
2021-10-19,19,30
2021-10-20,20,20
2021-10-21,21,20
2021-10-22,22,0
2021-10-23,23,0
2021-10-24,24,30
2021-10-25,25,0
2021-10-26,26,0
2021-10-27,27,0
2021-10-28,28,0
2021-10-29,29,0
2021-10-30,30,20
2021-10-31,31,0
2021-11-01,1,0
2021-11-02,2,20
2021-11-03,3,30
2021-11-04,4,20
2021-11-05,5,30
2021-11-06,6,20
2021-11-07,7,0
2021-11-08,8,20
2021-11-09,9,20
2021-11-10,10,60
2021-11-11,11,60
2021-11-12,12,60
2021-11-13,13,20
2021-11-14,14,0
2021-11-15,15,20
2021-11-16,16,0
2021-11-17,17,20
2021-11-18,18,0
2021-11-19,19,0
2021-11-20,20,0
2021-11-21,21,20
2021-11-22,22,20
2021-11-23,23,30
2021-11-24,24,0
2021-11-25,25,0
2021-11-26,26,0
2021-11-27,27,0
2021-11-28,28,30
2021-11-29,29,20
2021-11-30,30,60
2021-12-01,1,60
2021-12-02,2,30
2021-12-03,3,60
2021-12-04,4,0
2021-12-05,5,20
2021-12-06,6,20
2021-12-07,7,0
2021-12-08,8,30
2021-12-09,9,30
2021-12-10,10,20
2021-12-11,11,30
2021-12-12,12,30
2021-12-13,13,30
2021-12-14,14,0
2021-12-15,15,20
2021-12-16,16,30
2021-12-17,17,60
2021-12-18,18,30
2021-12-19,19,0
2021-12-20,20,0
2021-12-21,21,20
2021-12-22,22,0
2021-12-23,23,0
2021-12-24,24,60
2021-12-25,25,60
2021-12-26,26,60
2021-12-27,27,30
2021-12-28,28,30
2021-12-29,29,30
2021-12-30,30,60
2021-12-31,31,30
