 format: day,hour,forecast,value  location:53_32 Start : 20210101 
 1,0200,+4,30.000000 
 1,0200,+7,30.000000 
 1,0200,+10,30.000000 
 1,0200,+13,30.000000 
 1,0200,+16,30.000000 
 1,0200,+19,30.000000 
 1,0200,+22,30.000000 
 1,0200,+25,30.000000 
 1,0200,+28,20.000000 
 1,0200,+31,20.000000 
 1,0200,+34,20.000000 
 1,0200,+37,30.000000 
 1,0200,+40,30.000000 
 1,0200,+43,20.000000 
 1,0200,+46,20.000000 
 1,0200,+49,30.000000 
 1,0200,+52,20.000000 
 1,0200,+55,20.000000 
 1,0200,+58,20.000000 
 1,0200,+61,20.000000 
 1,0500,+4,30.000000 
 1,0500,+7,30.000000 
 1,0500,+10,30.000000 
 1,0500,+13,30.000000 
 1,0500,+16,30.000000 
 1,0500,+19,30.000000 
 1,0500,+22,30.000000 
 1,0500,+25,20.000000 
 1,0500,+28,20.000000 
 1,0500,+31,20.000000 
 1,0500,+34,30.000000 
 1,0500,+37,30.000000 
 1,0500,+40,20.000000 
 1,0500,+43,20.000000 
 1,0500,+46,30.000000 
 1,0500,+49,20.000000 
 1,0500,+52,20.000000 
 1,0500,+55,20.000000 
 1,0500,+58,20.000000 
 1,0800,+4,30.000000 
 1,0800,+7,30.000000 
 1,0800,+10,30.000000 
 1,0800,+13,30.000000 
 1,0800,+16,30.000000 
 1,0800,+19,30.000000 
 1,0800,+22,20.000000 
 1,0800,+25,20.000000 
 1,0800,+28,20.000000 
 1,0800,+31,30.000000 
 1,0800,+34,30.000000 
 1,0800,+37,20.000000 
 1,0800,+40,20.000000 
 1,0800,+43,30.000000 
 1,0800,+46,20.000000 
 1,0800,+49,20.000000 
 1,0800,+52,20.000000 
 1,0800,+55,20.000000 
 1,1100,+4,30.000000 
 1,1100,+7,30.000000 
 1,1100,+10,30.000000 
 1,1100,+13,30.000000 
 1,1100,+16,30.000000 
 1,1100,+19,20.000000 
 1,1100,+22,20.000000 
 1,1100,+25,20.000000 
 1,1100,+28,30.000000 
 1,1100,+31,30.000000 
 1,1100,+34,20.000000 
 1,1100,+37,20.000000 
